,task,method,metric,weights_type,ablation_type,plot_type,auc,n_points,test_kl_div,test_kl_div_max,test_kl_div_min,test_loss,test_loss_max,test_loss_min
11,docstring,ACDC,kl_div,reset,random_ablation,roc_nodes,0.40833798622743345,23,9.163044066656203,9.179398536682129,9.118252754211426,9.163044066656203,9.179398536682129,9.118252754211426
12,greaterthan,HISP,kl_div,reset,random_ablation,roc_nodes,0.5104444021808039,447,16.13952753731374,16.26197052001953,16.077728271484375,16.13952753731374,16.26197052001953,16.077728271484375
13,greaterthan,SP,kl_div,reset,random_ablation,roc_nodes,0.48560923037910486,7,15.334698123931883,16.13968152999878,15.025895118713379,15.334698123931883,16.13968152999878,15.025895118713379
14,greaterthan,ACDC,kl_div,reset,random_ablation,roc_nodes,0.9696969696969697,38,16.063861264122856,16.139934539794922,14.647380828857422,16.063861264122856,16.139934539794922,14.647380828857422
0,ioi,HISP,kl_div,reset,random_ablation,roc_edges,0.26109902270227836,447,10.409607608666581,10.415424346923828,10.326383590698242,10.409607608666581,10.415424346923828,10.326383590698242
1,ioi,SP,kl_div,reset,random_ablation,roc_edges,0.35073912993512646,7,10.283089570999145,10.413275814056396,10.205925703048706,10.283089570999145,10.413275814056396,10.205925703048706
2,ioi,ACDC,kl_div,reset,random_ablation,roc_edges,0.6992402796793622,39,10.40128875423122,10.413925170898438,10.27504825592041,10.40128875423122,10.413925170898438,10.27504825592041
3,tracr-reverse,HISP,l2,reset,random_ablation,roc_edges,0.5772893772893772,19,0.09246327728033066,0.09246327728033066,0.09246327728033066,0.33333295583724976,0.33333295583724976,0.33333295583724976
4,tracr-reverse,SP,l2,reset,random_ablation,roc_edges,0.0,13,0.09246327728033066,0.09246327728033066,0.09246327728033066,0.33333295583724976,0.33333295583724976,0.33333295583724976
5,tracr-reverse,ACDC,l2,reset,random_ablation,roc_edges,0.0,44,0.09246327728033066,0.09246327728033066,0.09246327728033066,0.33333295583724976,0.33333295583724976,0.33333295583724976
6,tracr-proportion,HISP,l2,reset,random_ablation,roc_edges,0.6785714285714286,11,0.0073257070034742355,0.0073257070034742355,0.0073257070034742355,0.08833333104848862,0.08833333104848862,0.08833333104848862
7,tracr-proportion,SP,l2,reset,random_ablation,roc_edges,0.32857142857142857,24,0.012259642127901316,0.017273753881454468,0.007737954147160055,0.14629629762335258,0.19888889789581302,0.09481482207775116
8,tracr-proportion,ACDC,l2,reset,random_ablation,roc_edges,0.0,23,0.010016628541052341,0.010016628541052341,0.010016628541052341,0.11851852387189865,0.11851852387189865,0.11851852387189865
9,docstring,HISP,kl_div,reset,random_ablation,roc_edges,0.5710059171597632,103,9.190506925677308,9.237446784973145,9.178170204162598,9.190506925677308,9.237446784973145,9.178170204162598
10,docstring,SP,kl_div,reset,random_ablation,roc_edges,0.41088757396449704,66,9.173569539934396,9.179754877090454,9.1412682056427,9.173569539934396,9.179754877090454,9.1412682056427
11,docstring,ACDC,kl_div,reset,random_ablation,roc_edges,0.2779585798816568,23,9.163044066656203,9.179398536682129,9.118252754211426,9.163044066656203,9.179398536682129,9.118252754211426
12,greaterthan,HISP,kl_div,reset,random_ablation,roc_edges,0.3171065851962578,447,16.13952753731374,16.26197052001953,16.077728271484375,16.13952753731374,16.26197052001953,16.077728271484375
13,greaterthan,SP,kl_div,reset,random_ablation,roc_edges,0.5187691675034102,7,15.334698123931883,16.13968152999878,15.025895118713379,15.334698123931883,16.13968152999878,15.025895118713379
14,greaterthan,ACDC,kl_div,reset,random_ablation,roc_edges,0.9516129032258065,38,16.063861264122856,16.139934539794922,14.647380828857422,16.063861264122856,16.139934539794922,14.647380828857422
0,induction,HISP,kl_div,reset,random_ablation,induction_kl_edges,,51,15.390123114293935,16.70147132873535,14.981050491333008,15.390123114293935,16.70147132873535,14.981050491333008
1,induction,SP,kl_div,reset,random_ablation,induction_kl_edges,,31,14.495588583781801,14.826003742218017,14.10250563621521,14.495588583781801,14.826003742218017,14.10250563621521
2,induction,ACDC,kl_div,reset,random_ablation,induction_kl_edges,,24,14.778511134060947,15.066768646240234,14.63278579711914,14.778511134060947,15.066768646240234,14.63278579711914
0,ioi,HISP,kl_div,trained,zero_ablation,roc_nodes,0.33935365913920046,447,10.36553805294778,20.503204345703125,2.2848002600994732e-08,10.36553805294778,20.503204345703125,2.2848002600994732e-08
1,ioi,SP,kl_div,trained,zero_ablation,roc_nodes,0.637748925235954,36,1.5979161936241915,3.685337793827057,0.4194532886147499,1.5979161936241915,3.685337793827057,0.4194532886147499
2,ioi,ACDC,kl_div,trained,zero_ablation,roc_nodes,0.938602559667935,20,7.8733194139268665,11.842216491699219,3.513946533203125,7.8733194139268665,11.842216491699219,3.513946533203125
3,tracr-reverse,HISP,l2,trained,zero_ablation,roc_nodes,0.75,19,0.07968873530626297,0.15268589556217194,0.0,0.2687903362161973,0.4444436728954315,0.0
